ROP (m/hr),RPM (rpm),WOB (klb),Hookload,Torque (f-kp),Discharge (GPM),SPP (psi),Total SPM (spm),Flow Out (%)
21.31,145,17.4,152.5,9.66,551,2204,111,25
22.35,145,20.6,149.5,7.48,552,2209,111,25
21.9,147,18.7,151.9,10.22,551,2190,111,25
21.36,146,19.1,149.3,6.72,552,2202,111,25
21.14,146,20,149.2,9.64,553,2190,111,25
21.97,147,21.2,147.9,7.38,551,2206,111,25
22.15,147,21.3,148.1,8.6,552,2202,111,25
20.49,145,19.5,148.8,7.4,552,2207,111,25
19.8,145,20.9,148.4,7.67,551,2203,111,25
18.94,145,20.6,148.6,7.73,553,2207,111,25
18.29,145,18.6,151.1,8.57,552,2212,111,25
18.39,145,20.8,149.9,7.78,551,2230,111,25
18.3,145,20,149.2,7.61,551,2218,111,25
18.59,146,23.1,146.3,8.15,551,2207,111,25
17.81,145,21.4,148.5,8.2,552,2204,111,25
17.41,147,18.7,150.7,8.35,551,2216,111,25
16.89,144,19.5,149.9,8.15,552,2212,111,25
16.68,145,18.1,150.8,9.07,552,2210,111,25
18.24,146,21.2,148.7,8.05,549,2204,111,25
18.27,144,20.8,149,7.8,551,2204,111,25
17.56,146,20.9,148.1,8.36,551,2207,111,25
17.07,147,19.6,149.5,8.43,552,2204,111,25
16.29,144,19.5,149,8.16,551,2200,111,25
15.87,147,16.6,152.8,7.34,551,2197,111,25
15.21,146,16.4,152.9,7.09,551,2211,111,25
14.76,145,16.9,152.5,7.28,550,2206,111,25
14.83,145,19,150.3,8.08,551,2206,111,25
15.2,145,20.4,149.1,8.56,551,2210,111,25
15,145,21.2,148.5,8.6,552,2204,111,25
14.47,146,20.4,148.4,8.38,551,2201,111,25
14.32,146,18.3,151.5,8.02,551,2210,111,25
14.55,146,19.7,151,8.33,552,2207,111,25
14.2,145,18.1,151.3,7.62,552,2203,111,25
15.42,145,19.7,149.9,8.27,552,2217,111,25
15.34,145,20.5,149,8.06,551,2221,111,25
15.33,145,21.9,147.4,8.36,553,2216,111,25
15.13,147,20.6,148.8,8.11,551,2219,111,25
14.97,144,21.7,149.9,7.86,551,2204,111,25
15.35,146,20.5,149.5,8.56,551,2212,111,25
15.74,145,20.9,148.1,8.1,553,2218,111,25
15.67,147,20.5,149.2,8.25,552,2214,111,25
15.79,146,21.7,147.9,9.78,552,2207,111,25
15.51,146,19.8,150.5,7.24,553,2207,111,25
15.22,147,21.1,149,9.37,551,2194,111,25
14.75,146,18.9,150.2,7.28,552,2205,111,25
14.62,148,17.2,152.4,7.62,552,2202,111,25
15.02,145,19.4,150.5,7.41,552,2223,111,25
16.25,145,20.5,149.6,7.64,552,2225,111,24
17.44,145,21.2,147.4,8.15,553,2221,111,25
17.35,143,20.4,148.5,10.23,552,2216,111,25
16.93,145,18.1,151.6,7.47,552,2212,111,25
16.81,147,18.1,151.8,8.92,553,2197,111,25
18.12,145,18.8,151.7,8.9,550,2213,111,25
18.36,145,19.3,149.9,8.64,552,2202,111,25
19.25,146,17.9,151.9,9.42,552,2211,111,25
18.36,147,14.9,153.7,8.06,554,2196,111,25
17.89,147,14.6,154.5,7.74,552,2200,111,25
17.99,146,16.6,152.6,7.77,550,2211,111,25
18.97,146,19.5,150.7,8.96,552,2209,111,25
19.78,146,19.7,149,7.74,551,2217,111,25
20.02,149,19.3,150.3,9.37,550,2208,111,25
19.58,148,17.8,150.7,6.71,552,2208,111,25
19.59,146,17.8,151.4,8.78,552,2199,111,25
21.85,143,20.1,149.2,8.24,552,2192,111,25
22.04,147,18.2,151.7,8.49,551,2207,111,25
22.45,146,17.7,153.9,8.85,553,2222,111,24
20.95,146,16.4,152.7,9.31,552,2212,111,25
20.45,145,14.4,155.4,7.61,553,2226,111,25
19.85,147,14.5,154.9,7.62,551,2216,111,25
20.8,144,15.6,152,7.85,552,2220,111,25
21.39,145,16.7,152.7,8.63,552,2215,111,25
21.1,146,15.9,153.5,8.1,551,2212,111,26
20.9,148,15.8,154.2,7.32,551,2228,111,25
22.37,146,17.8,152,7.71,551,2218,111,25
23.45,145,21.3,147.6,8.7,551,2205,111,25
23.15,146,20.4,149.5,8.33,552,2212,111,25
22.2,147,20.2,148.9,8.35,552,2211,111,25
21.34,145,16.4,152.8,8.2,551,2211,111,25
20.81,144,16.9,152.2,8.52,552,2215,111,25
20.4,146,16,152.7,8.04,551,2222,111,25
21.35,147,15.7,153.1,8.6,552,2217,111,25
21.45,148,19.2,150.7,7.92,552,2233,111,25
21.04,148,19.2,149.9,8.04,551,2209,111,25
21.91,147,17.9,151,7.35,551,2228,111,24
21.33,145,20.1,149.7,7.72,551,2215,111,25
21.46,145,20.3,149.5,8.84,552,2234,111,25
22.56,147,20.2,151.6,8.09,552,2221,111,25
22.04,144,20.3,149.3,8.56,552,2220,111,25
21.28,147,17.9,150.4,8.54,552,2215,111,25
21.12,145,19.7,149.4,7.89,551,2211,111,25
20.95,147,22.2,146.6,7.97,551,2214,111,25
20.5,145,21.3,148.1,8.27,551,2214,111,25
20.65,148,19.3,150.3,7.73,553,2213,111,25
20.15,146,18.7,151.2,8.91,551,2211,111,25
19.65,146,18.6,150.9,7.48,552,2230,111,25
19.76,146,19.8,149.7,7.99,552,2220,111,25
21.32,142,20.8,148.6,9.25,551,2215,111,25
21.28,143,20.8,148,7.54,551,2219,111,25
21.46,144,21,148.2,8.69,551,2221,111,25
21.01,145,19.1,150.2,8.74,552,2224,111,25
20.76,146,19.4,151.4,7.93,551,2226,111,25
21.16,147,21.3,148,8.22,553,2217,111,25
21.21,147,20.3,149.4,8.06,552,2202,111,25
21.52,146,20.7,148.9,8.53,553,2219,111,25
21,147,19.2,150.7,8.73,551,2222,111,25
20.37,147,15.5,152.1,8.11,552,2230,111,25
19.96,147,16.2,153,7.96,552,2218,111,25
20.36,145,19.5,151,8.19,550,2228,111,25
0,74,0,164.6,6.43,552,2231,111,24
20.74,144,21.2,149.6,7.69,551,2207,111,25
20.63,146,20.4,148.8,7.68,552,2223,111,25
20.05,147,20.2,149.4,7.73,551,2228,111,25
19.69,147,19.8,148.8,7.8,551,2223,111,25
19.99,146,20.8,148.6,8.15,551,2220,111,25
20.32,147,21.4,147.6,8.04,552,2212,111,25
19.98,148,20.7,149.2,8.57,551,2211,111,25
19.48,149,20.2,149.3,7.31,551,2211,111,25
19.04,145,19.5,149,8,551,2209,111,25
18.42,148,18.4,150.4,7.42,552,2230,111,25
17.85,146,17.1,149.4,7.57,551,2232,111,25
18.3,144,20.5,149,8.67,552,2227,111,25
18.5,145,21.5,148.4,8.78,552,2230,111,24
18.7,147,22,147.9,8.86,551,2207,111,25
18.64,146,19.8,147.5,8.22,552,2223,111,25
17.55,147,16.9,151.1,7.8,551,2218,111,25
17.4,146,18.1,152.3,7.48,551,2212,111,25
17.18,145,18,150.8,7.8,551,2215,111,25
18.16,144,19.6,147.5,8.2,552,2231,111,24
18.42,144,21.6,147.4,8.64,553,2203,111,25
17.94,147,21.3,147.4,7.91,553,2202,111,25
17.2,144,20.7,149.3,7.7,551,2210,111,25
16.79,147,20.1,150.2,7.75,553,2213,111,25
16.41,148,20.6,149,7.67,552,2216,111,25
16.66,147,19.1,148.2,8.18,551,2214,111,25
16.89,146,21.6,149.8,8.04,550,2211,111,25
17.14,146,21.8,147.6,8.14,551,2227,111,25
16.81,147,20.6,148,7.8,551,2217,111,24
16.18,145,19.7,148.3,7.98,551,2211,111,25
15.79,145,21.1,148.9,8.09,551,2214,111,25
15.5,146,20.4,149.6,8.4,551,2220,111,25
15.56,144,20.2,149.3,7.87,553,2221,111,24
15.89,145,21.2,148.6,8.34,553,2208,111,25
16.28,147,21.4,148.9,7.68,551,2217,111,25
16.3,145,21.1,148.2,8.58,553,2204,111,25
16.2,145,23.1,146.3,7.76,551,2208,111,25
15.72,146,20.5,149.4,8.25,551,2217,111,25
15.21,148,18.6,150.5,7.46,551,2216,111,25
14.97,147,19.8,152.4,7.5,552,2222,111,24
14.83,146,21,148.9,7.52,553,2218,111,25
15.77,145,22.8,147,7.61,552,2216,111,25
15.77,147,21.5,148.2,7.76,552,2219,111,25
14.77,144,20.1,149.5,7.48,552,2214,111,25
14.99,145,21.1,148.8,8.03,552,2207,111,25
14.99,146,15.7,153.6,7.31,553,1867,111,25
14.99,147,15,153.6,7.1,554,1776,112,22
14.99,147,13.3,155.5,6.63,544,1905,110,23
14.99,146,12,156.8,6.41,535,1799,109,22
14.99,146,13.1,156.9,6.35,535,1817,108,22
14.99,145,13.7,156.1,6.18,546,2020,110,23
14.99,146,13.2,157.6,5.93,558,1851,109,22
14.99,146,11.9,157.8,5.94,544,2022,110,24
14.99,146,11.5,156.9,5.84,548,2133,110,24
14.99,145,11.9,158.2,5.95,551,2171,111,24
14.99,147,11.8,157.7,5.92,552,2175,111,24
14.99,145,11.2,158.1,5.87,552,2201,111,25
12.73,144,14.3,156.7,6.45,551,2203,111,24
9.78,144,17.6,154.5,7.17,551,2209,111,25
10.12,145,20.3,148.6,7.83,552,2212,111,25
10.16,148,19,148.5,8.18,552,2217,111,25
10.24,147,20.8,148.2,7.97,551,2219,111,25
10.25,145,19.9,148.4,7.77,552,2213,111,24
9.92,145,20.8,148.6,7.49,552,2216,111,25
9.67,145,19.6,149.7,7.74,552,2209,111,25
9.63,147,20.1,148.5,7.58,552,2207,111,25
9.54,146,20.3,149,7.58,552,2206,111,25
9.54,145,21.2,148.4,7.97,551,2218,111,25
9.5,145,21,148.5,7.9,552,2210,111,25
9.43,146,20.8,148.6,7.86,552,2203,111,25
9.41,146,18.7,147.9,7.64,551,2217,111,25
9.22,145,20.1,149.8,7.68,551,2221,111,25
9.2,146,21.4,148.7,7.68,552,2228,111,25
9.27,146,22,147.3,7.97,552,2214,111,25
8.98,145,20.2,149.9,7.52,552,2210,111,25
8.9,146,21.3,149.7,7.46,552,2209,111,24
8.8,146,22.5,149.6,7.41,551,2209,111,25
8.6,146,21.5,149.6,7.48,552,2211,111,24
8.45,146,20.4,149.6,7.56,551,2212,111,25
8.44,148,20.3,150.1,7.66,551,2214,111,25
8.31,146,21.2,148.5,7.65,552,2215,111,25
8.26,147,22,147.2,7.71,551,2210,111,25
8.15,146,21.6,146,7.59,552,2219,111,25
8.23,144,22.8,145,7.72,552,2215,111,25
8.38,146,24.2,144.8,7.87,551,2208,111,25
8.38,147,21.3,148,7.5,551,2211,111,25
8.38,146,20.3,149.4,7.51,552,2211,111,25
7.8,147,19,150.7,6.95,553,2224,111,25
7.76,148,20.9,148.5,7.57,552,2214,111,25
7.71,148,20.8,148.6,7.52,552,2201,111,25
7.61,146,20.6,149.4,7.51,552,2212,111,25
7.7,145,20.9,149.1,7.58,552,2206,111,25
7.67,145,20.1,148.8,7.51,552,2208,111,25
7.53,147,20.5,149.2,7.57,551,2220,111,25
10.07,144,20.6,148.8,7.62,551,2219,111,25
10.05,145,21.5,147.8,7.77,552,2211,111,25
9.83,144,22.2,147.5,7.95,551,2217,111,25
9.86,147,22.8,147.1,7.72,552,2216,111,25
9.86,146,20.6,148.7,7.39,552,2218,111,25
9.86,147,18.1,151.6,7,552,2212,111,25
9.11,146,18.9,149.5,7.57,551,2207,111,25
8.99,145,18.5,151.6,7.41,552,2221,111,25
8.91,145,19.7,149.8,7.35,551,2203,111,25
8.78,146,19.8,149.8,7.2,551,2211,111,25
8.71,147,20.5,149.3,7.34,551,2215,111,25
8.83,148,20.2,149.7,7.27,553,2243,111,25
9.15,146,22.4,147.5,7.61,552,2213,111,25
9.23,144,23,147.8,7.3,552,2215,111,25
9.23,146,20.8,148.4,7.51,551,2214,111,25
8.97,144,20.2,148.5,7.32,552,2217,111,25
8.96,146,19.6,150.2,7.29,552,2220,111,25
9.05,145,18.5,149.3,7.79,551,2219,111,25
9.3,147,19.8,149.4,7.18,552,2211,111,25
9.35,147,19.3,150,7.38,551,2219,111,25
9.59,146,17.5,151.9,7.53,552,2207,111,25
10.27,145,18.3,151.7,8.35,552,2220,111,25
10.73,145,16.7,152.7,8.79,553,2219,111,25
11.31,145,15.1,153.6,9.37,551,2219,111,25
12.38,145,13,156.8,6.87,552,2208,111,25
13.15,144,14.2,154.9,8.37,551,2220,111,25
14.81,147,12.9,157.2,7.47,553,2214,111,25
15.38,147,11,158.5,7.47,552,2226,111,25
17.99,147,12.7,156.6,7.3,552,2220,111,25
21.47,146,13,154,7.43,551,2231,111,25
26.83,145,14.6,153.7,7.67,552,2230,111,25
33.19,144,15.9,153.1,8.99,553,2220,111,25
40.25,143,17.2,152.5,8.27,551,2237,111,25
38.61,146,13.8,151.7,8.48,551,2241,111,25
39.76,145,14.4,152.2,8.68,552,2234,111,25
41.22,146,15.7,154.2,8.77,552,2218,111,25
38.51,146,11.6,158.9,6.75,551,2221,111,25
36.66,146,10.4,159.2,7.33,551,2223,111,25
33.48,145,11.1,157.8,6.37,551,2221,111,25
31.28,146,12.7,156.7,7.02,551,2222,111,25
29.7,146,13.3,156.1,6.53,552,2208,111,25
26.84,146,13.1,157.9,6.39,552,2219,111,25
25.15,146,15.8,156.2,6.77,553,2217,111,25
23.78,147,14.7,156,6.51,553,2222,111,25
23.13,145,16.5,152.7,7.11,551,2240,111,25
22.42,145,17.2,152.2,7.63,553,2223,111,25
22.26,147,19.1,151,8.01,551,2217,111,25
21.47,145,18.2,149.4,7.74,552,2220,111,25
20.59,146,19.6,150.2,7.62,552,2215,111,25
19.78,147,20.3,149.1,7.53,552,2217,111,25
18.85,145,18.7,149.7,7.59,551,2227,111,25
18.12,144,20.1,149.5,8,551,2210,111,25
17.48,146,20.8,148.8,7.65,551,2224,111,25
16.97,145,20.9,148.8,8.47,551,2220,111,25
16.77,145,19.8,149.7,9.36,552,2223,111,25
16.27,148,17.7,151.6,8.33,552,2232,111,26
15.78,145,18.8,151.7,8.17,553,2216,111,25
15.18,146,19.5,149.2,6.79,552,2231,111,25
14.77,146,23.3,150.9,7.96,552,2211,111,25
14.24,145,21,148.2,7.16,551,2216,111,25
13.99,145,21.6,147.3,7.45,553,2200,111,25
13.56,147,20.8,148.5,7.7,552,2221,111,25
13.1,144,20.1,148.8,7.99,551,2216,111,25
12.79,147,18.8,153.9,8.95,551,2224,111,25
12.53,145,18.7,149.8,7.42,552,2222,111,25
12.26,148,17.5,153.7,8.34,552,2207,111,25
11.91,145,17.3,152.3,7.02,552,2210,111,25
11.71,147,20.3,148.5,8.22,550,2209,111,25
11.68,146,20.1,149,8.39,552,2213,111,25
11.64,145,20,149.3,8.67,552,2210,111,25
11.64,146,19.3,150.5,7.28,552,2216,111,25
11.28,145,18.7,151,7.72,551,2209,111,25
11.63,147,15.9,150.2,7.8,552,2220,111,25
12.18,146,19,150.1,7.88,552,2211,111,25
12.29,146,18,150.7,7.74,553,2217,111,25
12.29,147,17.8,151.4,7.27,552,2214,111,25
12.05,145,18.4,151.4,7.46,553,2211,111,25
11.83,147,18.1,152.7,7.4,553,2201,111,25
11.65,147,18.7,150.8,7.58,552,2204,111,25
11.57,145,19.4,149.8,7.75,552,2212,111,25
11.35,145,19.7,150.8,7.95,551,2202,111,25
11.13,147,18.5,151.9,7.29,553,2219,111,25
11.66,146,21.7,148.3,8.11,551,2214,111,25
11.74,144,21.4,150.6,7.75,551,2212,111,25
11.64,145,20.5,149.8,8.03,552,2218,111,25
11.43,145,17.5,151.2,7.17,552,2212,111,25
11.31,147,19.5,149.8,7.62,551,2216,111,25
11.13,145,19.8,149.4,7.52,552,2210,111,25
11.11,145,20.3,148.7,7.57,551,2220,111,25
11.07,144,20.9,147.7,8.51,553,2212,111,25
10.95,148,18.5,151.9,8.11,553,2202,111,25
11.02,146,16.8,152,7.61,553,2196,111,25
11.06,145,19.2,150.3,8.74,551,2220,111,25
11.09,145,19.1,150.3,8.55,552,2236,111,25
11.12,146,19,150.2,8.36,553,2203,111,25
11.51,145,19.1,149.9,7.51,550,2213,111,25
11.39,146,18.5,150.5,8.42,551,2203,111,25
11.59,145,19.7,150.2,7.46,552,2210,111,25
12.03,146,21.4,148.5,7.88,552,2221,111,25
12.01,146,20.9,148.7,8.33,551,2228,111,25
11.85,144,20.8,147.7,7.67,551,2217,111,25
11.75,146,19.2,150.3,8.46,551,2211,111,25
11.5,147,16.8,152.5,8.46,551,2206,111,25
12.01,146,17.5,152.1,7.89,551,2211,111,25
12.16,145,20.1,150.3,7.74,552,2212,111,25
12.07,146,17.6,151.3,7.95,552,2211,111,25
12.45,147,19.3,152.9,7.85,552,2221,111,25
12.61,148,20.1,148.8,7.67,552,2206,111,25
12.71,146,19.5,149.1,7.71,551,2219,111,25
12.69,145,19.7,150.5,7.72,551,2231,111,25
12.54,145,18.9,150,7.78,552,2226,111,25
12.56,146,19.7,148.7,7.73,552,2222,111,25
12.62,145,18.2,150.9,7.98,552,2207,111,25
12.4,146,18.2,151.9,7.83,552,2210,111,25
12.23,146,17.8,152,8.28,550,2220,111,25
12.36,146,20,149.8,7.92,552,2208,111,25
13.4,144,22.3,146.2,7.82,551,2220,111,25
13.4,146,20.8,148,7.98,551,2220,111,25
12.7,147,21,148.3,7.8,552,2206,111,25
12.58,145,19.4,150.2,7.66,552,2211,111,25
12.4,144,20,150.1,7.77,552,2197,111,25
12.37,146,18.2,151.1,7.56,551,2212,111,25
12.56,146,20.5,149.6,7.75,551,2229,111,25
12.58,145,21.9,147.4,8.16,551,2209,111,25
12.6,147,21.3,148.1,7.99,551,2221,111,25
12.15,147,19.2,149,7.68,553,2206,111,25
11.98,147,18.6,150.3,7.76,552,2218,111,25
11.98,145,17.5,152.3,7.82,552,2219,111,25
11.64,146,18,151.4,7.32,551,2226,111,25
9.75,74,5.9,163.8,6.6,552,2241,111,25
11.28,147,16,153.2,6.95,552,2227,111,25
11.1,147,15.4,153.5,7.14,551,2197,111,25
10.84,145,14.3,154.9,6.83,551,2212,111,25
10.73,147,16.8,153.9,7.1,552,2205,111,25
10.64,145,16.7,152.4,7.14,552,2226,111,25
10.6,145,17.5,152,7.24,551,2217,111,25
10.51,145,19.7,149.4,7.45,553,2209,111,25
10.47,145,19.7,149.4,7.52,551,2211,111,25
10.58,146,19.8,150,7.6,553,2212,111,25
10.49,146,20.5,148.8,7.64,552,2229,111,25
10.63,146,23,146.7,7.8,551,2224,111,25
10.47,146,20.9,148.8,7.41,552,2214,111,25
10.34,145,20.9,148.5,7.68,552,2228,111,25
10.09,145,19.8,149.6,7.54,551,2234,111,25
9.94,147,19.3,151.6,7.67,551,2225,111,25
9.78,145,17.5,151.6,7.17,551,2211,111,25
9.45,145,16.4,153.2,6.79,552,2208,111,25
9.48,145,15,157.6,7.11,551,2214,111,25
9.75,140,8.7,159.6,4.54,551,2217,111,25
9.73,145,10.7,155.8,6.95,552,2221,111,25
9.75,147,14.9,154.4,7.25,551,2211,111,25
